"country","year","Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Real interest rate (%)","Deposit interest rate (%)","Lending interest rate (%)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","iso3c","iso2c","adminregion","incomeLevel"
"Albania",1992,226.005421253526,232.984658871868,-63.7871204812071,18.5,20.5833333333333,26.5,30.0149993896484,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",1993,85.0047512387157,125.650814200424,-42.5735139522976,27.3333333333333,29.5833333333333,22.2999992370605,25.257999420166,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",1994,22.5650526933696,35.8424752156678,-8.96318219295577,19.8333333333333,23.6666666666667,18.3999996185303,20.8400001525879,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",1995,7.79321853789215,9.97066268022502,8.80174501441422,15.3,19.65,12.8999996185303,14.6110000610352,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",1996,12.7254778087102,38.1720581904406,-10.2869748364873,16.7833333333333,23.9583333333333,12.3000001907349,13.9309997558594,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",1997,33.1802743753957,11.2396444889093,19.2994942972552,27.2758333333333,32.7083333333333,14.8999996185303,16.8759994506836,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",1999,0.389437653561606,2.10284998780091,19.110289296068,12.9458333333333,21.615,18.3999996185303,20.8400001525879,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2000,0.0500181363468233,5.64747147491495,15.5754115979881,8.3025,22.1025,16.7999992370605,19.0279998779297,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2001,3.10758827031435,3.81085736921132,15.2617073964696,7.725,19.6541666666667,16.3999996185303,18.5750007629395,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2002,7.77052583431551,3.64747627374751,11.2464777841114,8.53833333333333,15.3041666666667,15.8000001907349,17.8950004577637,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2003,0.484002611818484,5.19863530390563,8.62387425770233,8.37549739428437,14.2708333333333,15,16.9890003204346,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2004,2.28001916938099,3.15236892630959,8.34605448013448,6.60669485084465,11.7615218344487,14.3999996185303,16.3099994659424,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2005,2.36658195679796,3.30681815262164,9.45550547587983,5.08755087231281,13.075,14.1000003814697,15.9700002670288,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2006,2.37072831904283,2.47818888484454,10.2087615821967,5.22742521887892,12.9399428618515,13.8000001907349,15.6300001144409,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2007,2.93268248162319,4.38670937874643,9.30474144287698,5.6590985397927,14.0996227871662,15.9700002670288,15.9700002670288,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2008,3.32087090389268,4.11708542761993,8.55052487177923,6.80274238793673,13.0196427128802,13.0600004196167,13.0600004196167,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2009,2.2669220945083,2.41833605658384,10.000747416439,6.77243622651908,12.6609351537225,13.6700000762939,13.6700000762939,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2010,3.62604695579817,4.49314320250261,7.97103659396286,6.41754337281697,12.8223298853561,14.0900001525879,14.0900001525879,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2011,3.42912324722164,2.31474379699794,9.88846223555399,5.86175264225151,12.4320985987679,13.4799995422363,13.4799995422363,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2012,2.03159268395298,1.04271460596459,9.73611207397717,5.42490848079036,10.8803465425902,13.3800001144409,13.3800001144409,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2013,1.93762080205227,0.288745964465136,9.51039749089083,4.16420494025281,9.8266043443155,15.8699998855591,15.8699998855591,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2014,1.62586504402607,1.54991706750106,6.32455753580755,1.91416666666667,7.9725,18.0499992370605,18.0499992370605,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2015,3.50120835492656,0.563991353628552,7.27249241794098,1.39333333333333,7.8775,17.1900005340576,17.1900005340576,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2016,-0.367317209784628,-0.632653419297611,7.41372325966381,0.830833333333333,6.73416666666667,15.4200000762939,15.4200000762939,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2017,2.0605984592022,1.45106269946422,4.70072680723231,0.766666666666667,6.22,13.6199998855591,13.6199998855591,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2018,2.02805963071136,1.47305810209839,4.39470533490248,0.751666666666667,5.9325,12.3000001907349,12.3000001907349,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Albania",2019,1.41109078954248,1.22100947633079,4.99384849366133,0.4925,6.27583333333333,11.4700002670288,11.4700002670288,"ALB","AL","Europe & Central Asia (excluding high income)","Upper middle income"
"Algeria",1995,29.7796264864999,28.5770375312606,-7.90216593855153,16.5833333333333,18.4166666666667,31.8400001525879,31.8400001525879,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",1997,5.73352275357186,7.00196304772447,8.13664538259514,12.6041666666667,15.7083333333333,25.4300003051758,25.4300003051758,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2000,0.339163189071755,22.6780091914404,-10.3343779989584,7.5,10,29.7700004577637,29.7700004577637,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2001,4.22598834854679,-0.473401960475741,10.0208408173613,6.25,9.5,27.2999992370605,27.2999992370605,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2002,1.41830192345045,1.32042784928481,7.16825386372447,5.33333333333333,8.58333333333333,25.8999996185303,25.8999996185303,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2003,4.268953958395,8.3307336371242,-0.189912530098195,5.25,8.125,23.7199993133545,23.7199993133545,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2004,3.96180030257191,12.2476319400738,-3.7841617383443,3.64583333333333,8,17.6499996185303,17.6499996185303,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2005,1.38244656662119,16.1253504175284,-6.99705136588498,1.9375,8,15.2700004577637,15.2700004577637,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2006,2.31149918514421,10.5467042837183,-2.30373605456583,1.75,8,12.2700004577637,12.2700004577637,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2007,3.67899574741703,6.39533725042949,1.50820777586664,1.75,8,13.789999961853,13.789999961853,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2008,4.85859062814938,15.3105810067605,-6.33990475369463,1.75,8,11.3299999237061,11.3299999237061,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2009,5.73706036145632,-11.1616154476211,21.5690723600714,1.75,8,10.1599998474121,10.1599998474121,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2010,3.91106195534027,16.1199808976076,-6.99275080381528,1.75,8,9.96000003814697,9.96000003814697,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2011,4.52421150505276,18.2280122517964,-8.6510904285638,1.75,8,9.96000003814697,9.96000003814697,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2012,8.89145091062314,7.45833652381816,0.504068361473087,1.75,8,10.9700002670288,10.9700002670288,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2013,3.25423910998847,-0.0933043780076446,8.1008628376916,1.75,8,9.81999969482422,9.81999969482422,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2014,2.91692692067457,-0.300580434607085,8.3256055760312,1.75,8,10.210000038147,10.210000038147,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2015,4.78444700693894,-6.4556504125248,15.453258776477,1.75,8,11.210000038147,11.210000038147,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2016,6.39769480268749,1.5488805487981,6.35272335483984,1.75,8,10.1999998092651,10.1999998092651,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Algeria",2017,5.59111590961673,6.39065471241133,1.51267542430202,1.75,8,13.5699996948242,10.3330001831055,"DZA","DZ","Middle East & North Africa (excluding high income)","Lower middle income"
"Angola",2004,43.5421067519686,33.4401786487082,36.6411290160783,15.4393455269743,82.3341666666667,23.6399993896484,3.91599988937378,"AGO","AO","Sub-Saharan Africa (excluding high income)","Lower middle income"
"Angola",2009,13.7302839288409,-16.7610820511749,38.975946691856,7.58936660757563,15.682074235437,3.77999997138977,3.77999997138977,"AGO","AO","Sub-Saharan Africa (excluding high income)","Lower middle income"
"Angola",2010,14.4696564932576,32.2634423201135,-7.34887140957809,12.7562991888339,22.5435720221269,9.43000030517578,9.43000030517578,"AGO","AO","Sub-Saharan Africa (excluding high income)","Lower middle income"
"Angola",2011,13.4824679218512,31.7715491882555,-9.87641773345694,6.30923166027609,18.7572405365757,7.3600001335144,7.3600001335144,"AGO","AO","Sub-Saharan Africa (excluding high income)","Lower middle income"
"Angola",2014,7.28038730361125,3.56082079817712,12.3805991919921,3.52696441746378,16.3822709411366,9.57999992370605,7.37200021743774,"AGO","AO","Sub-Saharan Africa (excluding high income)","Lower middle income"
"Armenia",1995,175.951325534583,161.163917579159,-24.9130577387047,56.1833333333333,96.1,6.69999980926514,6.69999980926514,"ARM","AM","Europe & Central Asia (excluding high income)","Upper middle income"
"Armenia",1996,18.681185640036,19.5917703052133,39.1051682810329,32.1916666666667,66.3583333333333,9.30000019073486,9.30000019073486,"ARM","AM","Europe & Central Asia (excluding high income)","Upper middle income"
"Armenia",1997,13.960764121791,17.7359944945837,30.9943494018688,26.0766666666667,54.2275,10.8000001907349,10.8000001907349,"ARM","AM","Europe & Central Asia (excluding high income)","Upper middle income"
